받는분,기본주소,상세주소,우편번호
행복주유소 대표,강원 철원군 서면 와수1로 40,행복주유소,
대경주유소 대표,강원 원주시 원문로 246 (단계동),대경주유소,
강릉햇살주유소 대표,강원 강릉시 입암로 12 (입암동),강릉햇살주유소,
학사평주유소 대표,강원 속초시 원암학사평길 50 (노학동),학사평주유소,
강토탈 구도일주유소 뉴설악 대표,강원 속초시 설악산로 35 (도문동),강토탈 구도일주유소 뉴설악,
아천동주유소 대표,경기 구리시 아차산로 55,아천동주유소,
풍산에너지(주) 대표,경기 김포시 풍무로 164,풍산에너지(주),
양운개발 구도일주유소 에듀시티 대표,경기도 오산시 수목원로 371,양운개발 구도일주유소 에듀시티,
㈜정도인더스트리 대표,경기 안산시 단원구 정왕대로 424,㈜정도인더스트리,
서울석유(주) 호평첨단주유소 대표,경기 남양주시 늘을1로 161,서울석유(주) 호평첨단주유소,
(주)나눔에너지 대표,경기 수원시 영통구 영통로 171,(주)나눔에너지,
서울석유㈜ 진위산단주유소 대표,경기 평택시 진위면 삼남로 712,서울석유㈜ 진위산단주유소,
교문주유소 대표,경기 구리시 아차산로 436 (교문동),교문주유소,
옥종농협주유소 북천지점 대표,경남 하동군 북천면 가리골길 4,옥종농협주유소 북천지점,
옥종농협주유소 대표,경남 하동군 옥종면 주포중앙길 28,옥종농협주유소,
새천년주유소 대표,경남 창원시 마산합포구 진동면 남해안대로5422,새천년주유소,
태진주유소 대표,경남 창원시 마산합포구 진전면 남해안대로4434,태진주유소,
북마산주유소 대표,경남 창원시 마산회원구 무학로 617,북마산주유소,
해뜨는주유소 대표,경북 포항시 북구 용흥로 288 (용흥동),해뜨는주유소,
비산이룸주유소 대표,경북 구미시 낙동강변로 735 (비산동),비산이룸주유소,
광평세종주유소 대표,경상북도 구미시 박정희로 359 (광평동),광평세종주유소,
행운주유소 대표,경북 김천시 영남대로 1500 (부곡동),행운주유소,
김가네주유소 대표,경상북도 구미시 인동가산로 453,김가네주유소,
두암주유소 대표,광주 북구 군왕로 103 (두암동),두암주유소,
자모셀프주유소 대표,광주 북구 우치로 7,자모셀프주유소,
전송주유소 대표,광주 광산구 어등대로 583,전송주유소,
(주)평동제일주유소 대표,광주 광산구 동곡로 552 (장록동),(주)평동제일주유소,
㈜더착한주유소 대표,광주 광산구 동곡로 72 (본덕동),㈜더착한주유소,
평리동양주유소 대표,대구 서구 북비산로 241 (평리동),평리동양주유소,
버디클럽오일뱅크 대표,대구 수성구 무학로 12 (상동),버디클럽오일뱅크,
한일주유소 대표,대구 수성구 청수로 162 (지산동),한일주유소,
옥포고속주유소 대표,대구 달성군 비슬로 2190,옥포고속주유소,
수성현대셀프주유소 대표,대구 수성구 동대구로 74 (지산동),수성현대셀프주유소,
(주)황제주유소 대표,대전 유성구 대덕대로 934 (화암동),(주)황제주유소,
오정동SM셀프주유소 대표,대전 대덕구 오정로 123 (오정동),오정동SM셀프주유소,
㈜대성바이오 대표,대전 대덕구 한밭대로 1180,㈜대성바이오,
중도석유(주) 대덕주유소 대표,대전 서구 월평북로 84 (월평동),중도석유(주) 대덕주유소,
(주)하나주유소 대표,대전 유성구 유성대로 1127 (하기동),(주)하나주유소,
광신석유(주)직영 가야대로주유소 대표,부산 사상구 가야대로 395,광신석유(주)직영 가야대로주유소,
제일주유소 대표,부산 강서구 가락대로 1417,제일주유소,
금룡주유소 대표,부산 강서구 가락대로 1361 (봉림동),금룡주유소,
상계동주유소 대표,서울 노원구 노원로26길 191 (상계동),상계동주유소,
(주)아이에스피에너지(서울서부고속주유소) 대표,서울 은평구 응암로 163,(주)아이에스피에너지(서울서부고속주유소),
(주)한미석유구로그린주유소 대표,서울 구로구 구로중앙로 76 (구로동),(주)한미석유구로그린주유소,
서일석유(주)락성주유소 대표,서울 관악구 남부순환로 1920 (봉천동),서일석유(주)락성주유소,
(주)타이거오일 방화주유소 대표,서울 강서구 방화동로 58-2,(주)타이거오일 방화주유소,
한이에너지(주) 쌍문주유소 대표,서울 도봉구 도봉로 547 (쌍문동),한이에너지(주) 쌍문주유소,
마포시엠주유소 대표,서울 마포구 월드컵북로 62,마포시엠주유소,
개화주유소 대표,서울 강서구 양천로 57,개화주유소,
구도일주유소 파크빌 대표,서울 도봉구 해등로3길 86 (창동),구도일주유소 파크빌,
우리주유소 대표,서울 성북구 화랑로 292,우리주유소,
(주)강서오일 대표,서울 영등포구 도신로 151,(주)강서오일,
㈜진성 가람Self주유소 대표,세종특별자치시 금송로 589,㈜진성 가람Self주유소,
새롬주유소 대표,세종시 어울로 77 (새롬동),새롬주유소,
세종반곡주유소 대표,세종특별자치시 국책연구원3로 9,세종반곡주유소,
아주알뜰주유소 ㈜아주 대표,세종특별자치시 다정북로 40,아주알뜰주유소 ㈜아주,
도담알뜰주유소 대표,세종 갈매로 596,도담알뜰주유소,
