선정차수,번호,지역,상호,주소,상표,셀프여부
1차,A0004302,강원 철원군,행복주유소,강원 철원군 서면 와수1로 40,HD현대오일뱅크,일반
1차,A0010871,강원 원주시,대경주유소,강원 원주시 원문로 246 (단계동),HD현대오일뱅크,일반
1차,A0011351,강원 강릉시,강릉햇살주유소,강원 강릉시 입암로 12 (입암동),HD현대오일뱅크,셀프
1차,A0011705,강원 속초시,학사평주유소,강원 속초시 원암학사평길 50 (노학동),HD현대오일뱅크,셀프
1차,A0011618,강원 속초시,강토탈 구도일주유소 뉴설악,강원 속초시 설악산로 35 (도문동),S-OIL,셀프
1차,A0006625,경기 구리시,아천동주유소,경기 구리시 아차산로 55,S-OIL,일반
1차,A0033799,경기 오산시,양운개발 구도일주유소 에듀시티,경기도 오산시 수목원로 371,S-OIL,셀프
1차,A0006996,경기 안산시,㈜정도인더스트리,경기 안산시 단원구 정왕대로 424,S-OIL,셀프
1차,A0006505,경기 남양주,서울석유(주) 호평첨단주유소,경기 남양주시 늘을1로 161,SK에너지,셀프
1차,A0007548,경기 수원시,(주)나눔에너지,경기 수원시 영통구 영통로 171,HD현대오일뱅크,셀프
1차,A0008147,경기 평택시,서울석유㈜ 진위산단주유소,경기 평택시 진위면 삼남로 712,SK에너지,셀프
1차,A0006308,경기 구리시,교문주유소,경기 구리시 아차산로 436 (교문동),S-OIL,셀프
1차,A0033685,경남 하동군,옥종농협주유소 북천지점,경남 하동군 북천면 가리골길 4,NH-OIL,일반
1차,A0030232,경남 하동군,옥종농협주유소,경남 하동군 옥종면 주포중앙길 28,NH-OIL,일반
1차,A0027923,경남 창원시,새천년주유소,경남 창원시 마산합포구 진동면 남해안,S-OIL,셀프
1차,A0028300,경남 창원시,태진주유소,경남 창원시 마산합포구 진전면 남해안,HD현대오일뱅크,셀프
1차,A0028338,경남 창원시,북마산주유소,경남 창원시 마산회원구 무학로 617,HD현대오일뱅크,셀프
1차,A0024502,경북 포항시,해뜨는주유소,경북 포항시 북구 용흥로 288 (용흥동),SK에너지,일반
1차,A0026259,경북 구미시,비산이룸주유소,경북 구미시 낙동강변로 735 (비산동),SK에너지,셀프
1차,A0025986,경북 구미시,광평세종주유소,경상북도 구미시 박정희로 359 (광평동),HD현대오일뱅크,셀프
1차,A0025416,경북 김천시,행운주유소,경북 김천시 영남대로 1500 (부곡동),SK에너지,셀프
1차,A0026308,경북 구미시,김가네주유소,경상북도 구미시 인동가산로 453 (인동,SK에너지,셀프
1차,A0019951,광주 북구,자모셀프주유소,광주 북구 우치로 7,SK에너지,셀프
1차,A0020477,광주 광산구,전송주유소,광주 광산구 어등대로 583,SK에너지,셀프
1차,A0020705,광주 광산구,(주)평동제일주유소,광주 광산구 동곡로 552 (장록동),알뜰주유소,셀프
1차,A0020238,광주 광산구,㈜더착한주유소,광주 광산구 동곡로 72 (본덕동),HD현대오일뱅크,셀프
1차,A0023245,대구 서구,평리동양주유소,대구 서구 북비산로 241 (평리동),SK에너지,셀프
1차,A0023001,대구 수성구,버디클럽오일뱅크,대구 수성구 무학로 12 (상동),HD현대오일뱅크,일반
1차,A0023236,대구 달성군,옥포고속주유소,대구 달성군 비슬로 2190,HD현대오일뱅크,셀프
1차,A0022980,대구 수성구,수성현대셀프주유소,대구 수성구 동대구로 74 (지산동),HD현대오일뱅크,셀프
1차,A0017444,대전 유성구,(주)황제주유소,대전 유성구 대덕대로 934 (화암동),SK에너지,셀프
1차,A0013609,대전 대덕구,오정동SM셀프주유소,대전 대덕구 오정로 123 (오정동),HD현대오일뱅크,셀프
